CountryName,ArrID,ArrType,ApprovalDate,InitialEndDate,RevisedEndDate,IniPgmYr,BoardActDate,ReviewType,ReviewSequence,EconDescrpt,Descpt,CondtOriginTxt,SPC_PA_SB,CondtSource,CondtSourceTxt,LeadInst,TestDate,Status,Comments
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.1. Revenue measures, excluding trade policy",MOF will collect at least Af 79 million on the business receipt tax (BRT) and nontax (landing/parking right fees) liabilities due by airlines and outstanding at end-2007/08.,,PA,,,,Fourth Review Prior action,NM,"At P1R4, pending (part of SB for P1R6).  Buff/08/96 reads: ""As of July 2, 2008, the authorities reported having collected Af 69.3 million and provided staff with documents confirming this amount. The documentation provided by the authorities, although not fully complete, confirms that the payments were made by the airlines or on their behalf.... The authorities have arranged for an additional Af 10.5 million (about US$200,000) to be collected from two airlines before the July 7, 2008 Board meeting."""
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs","MOF will issue an instruction for Afghan Customs Department (ACD) to ensure timely updates of reference prices for petroleum products, which will be applied in assessing the amount of applicable duties and taxes collected at the border.",,PA,,,,Fourth Review Prior action,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs",MOF and MoCI will sign a memorandum of understanding to clarify working arrangements of both ministries and the Fuel and Liquid Gas Enterprise (FLGE) with a view to granting customs officials full access to depot and storage areas and the authority to verify independently the amount and the quality of fuel imported by FLGE and private importers before it is taken into FLGE's custody.,,PA,,,,Fourth Review Prior action,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs","Customs will prepare first monthly report verifying that the memorandum of understanding between the Ministry of Finance and the Ministry of Commerce and Industry has been implemented and its effect on revenue, including a detailed assessment of the volume and value of all categories of fuel imported and amount of taxes and customs duties levied and collected. The report will also document the access received by customs and any areas that need improvement.",,PA,,,,Fifth Review Prior action,M,"At P1R5, in the Memorandum of Economic and Financial Policies (MEFP) of March 4, 2009, Fund staff and the authorities reached an agreement to make this measure as a prior action for the completion of the Fifth Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs",Adopt and implement the business model of border controls clarifying the role of each ministry at the border consistent with internationally accepted best practices in consultation with other stakeholders (Ministry of Commerce and Industry and Ministry of the Interior) for better customs controls at the border.,Condition is new,SB,,,,01/31/2010,SB,"At P1R5, specified as SB for the 7th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs",Implement the ASYCUDA transit module along Zaranj-Nimroz axis and Declaration Processing Module at Nimroz.,Condition is new,SB,,,,01/31/2010,SB,"At P1R5, specified as SB for the 7th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.7. Fiscal transparency (publication, parliamentary oversight)",Publish external audit report of Fuel and Liquid Gas Enterprise (FLGE).,,SB,,,,11/30/2008,DL,"At P1R5, specified new testdate of 6/30/2009."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.7. Fiscal transparency (publication, parliamentary oversight)",Publish external audit report of Fuel and Liquid Gas Enterprise (FLGE).,Condition was previously a structural benchmark,SB,,,,06/30/2009,MD,"At P1R5, specified as SB for the 6th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.7. Fiscal transparency (publication, parliamentary oversight)",DABM/S will publish bimonthly report on financial flows and other key variables.,Condition is new,SB,,,,11/30/2009,SB,"At P1R5, specified as SB for the 7th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.8. Budget preparation (e.g., submission or approval)",Submit core budget to parliament according to the PFEM Law and accompanied by a MTFF,,SB,,,,02/03/2008,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.8. Budget preparation (e.g., submission or approval)",Submit to parliament the core budget's audited financial statement for 2007/08.,,SB,,,,09/21/2008,CAN,"At P1R3, Fund staff and the authorities reached an understanding that this measure will be a structural performance criterion for a later review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,6.2. Restructuring and privatization of financial institutions,"Prepare, and submit to Cabinet, a restructuring plan for Bank Pashtany.",Condition was previously a structural benchmark,SB,,,,08/31/2007,PM,"At P1R3, the restructuring plan for Pashtany bank has been sent to Cabinet, but it is not based on the audit report because the audit took longer than expected."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"8. International trade policy, excluding customs reforms",Reduce to 20 percent the 40 percent tariff rate on soft drinks established by Presidential Decree Nr. 96.,,SB,,,,03/31/2009,CAN,"At P1R3, Fund staff and the authorities reached an understanding that this measure will be a structural performance criterion for a later review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,5.1. Public enterprise pricing and subsidies,Publish a schedule of fees charged by the Fuel and Liquid Gas Enterprise (FLGE) for its services.,,SB,,,,02/29/2008,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,5.1. Public enterprise pricing and subsidies,MOF will conclude a comprehensive agreement with the DABM (electricity public enterprise) on a medium-term plan to reduce subsidies.,,SB,,,,12/31/2008,MD,"The agreement was signed on February 22, 2009 by Ministers of Finance, Energy and Water, and Economy (the target date was December 31, 2009)."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing",Adopt a comprehensive restructuring/divestment plan for the public entities and government agencies engaged in commercial activities but not covered by the state-owned enterprises (SOEs) law.,,SB,,,,03/31/2007,DL,"At P1R2, test date reset to 9/30/07."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing",Adopt a comprehensive restructuring/divestment plan for the public entities and government agencies engaged in commercial activities but not covered by the state-owned enterprises (SOEs) law.,Condition was previously a structural benchmark,SB,,,,09/30/2007,DL,"At P1R3, test date reset to 3/31/2008."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing",Adopt a comprehensive restructuring/divestment plan for the public entities and government agencies engaged in commercial activities but not covered by the state-owned enterprises (SOEs) law.,Condition was previously a structural benchmark,SB,,,,03/31/2008,NM,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing",MoF will conclude an agreement with the DABM (electricity public enterprise) on quarterly reform benchmarks to be met by DABM throughout 2008/09 in exchange for the subsidy disbursements.,,SB,,,,03/21/2008,NM,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing","MOF will review the fiscal relations between the government and Afghan Telecom, Ariana, DABM/DABS, and FLGE.",,SB,,,,12/31/2008,MOD,"At P1R5, Fund staff and the authorities reached an agreement to modify and delay this structural benchmark to the Seventh Review. The new benchmark is more comprehensive, including business plans (divestiture, restructuring, and privatization) for the key public enterprises, and suggesting that the authorities should seek technical assistance from external expert to make progresses on financial statements of the enterprises."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing","Implement the ASYCUDA Transit and Declaration Processing Module in Nangarhar and Herat, and at Kabul Airport inland clearing depots.",Condition was previously a structural benchmark,SB,,,,04/30/2009,M,"At P1R5, specified as SB for the 6th Review.Implementation of the ASYCUDA transit and Declaration Processing Module in Nangarhar, Herat, and Kabul Airport inland clearing depots."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing","Finalize a comprehensive review of the financial situation of Afghan Telecom, Ariana, DABM, and FLGE and their fiscal relations with the government in terms of tax owed, subsidies (if applicable), and other payables or receivables. The review will include regularization of tax payments and other cross debts and reduction of subsidies (if applicable); closure of unauthorized bank accounts; review of corporate governance procedures; business plans; and plans for divestiture, restructuring, or privatization for these enterprises.",Condition is new,SB,,,,01/31/2010,SB,"At P1R5, specified as SB for the 7th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"6.1. Financial sector legal reforms, regulation, and supervision",Issue regulations on credit-granting standards and credit monitoring processes.,,SB,,,,11/30/2007,MD,"At P1R3, the relevant regulations were issued in early February 2008."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"6.1. Financial sector legal reforms, regulation, and supervision",Issue regulations setting limits on sectoral loan concentration.,,SB,,,,11/30/2007,MD,"At P1R3, the relevant legislation was issued in early February 2008."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"6.1. Financial sector legal reforms, regulation, and supervision",DAB will issue a circular informing banks that the requirement to invest 80 percent of bank deposits in domestic economy has been repealed.,,SB,,,,03/31/2008,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,6.2. Restructuring and privatization of financial institutions,Adopt long-term restructuring plan for Bank Millie and Bank Pashtany,Condition is new,SB,"IMF, CtyTeam",IMF Country team,IMF,09/30/2006,NM,"At P1R1, this benchmark not met owing to the authorities' decision in August 2006 to merge the three state-owned banks.  However, the decision to merge these banks was subsequently reversed."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,6.2. Restructuring and privatization of financial institutions,"Publish a public statement announcing the liquidation of Export Promotion Bank or its merger with another licensed commercial bank, and finalize the transfer of its deposit",Condition is new,SB,"IMF, CtyTeam",IMF Country team,IMF,09/30/2006,NM,"At P1R1, this benchmark not met owing to the authorities' decision in August 2006 to merge the three state-owned banks.  However, the decision to merge these banks was subsequently reversed."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,6.2. Restructuring and privatization of financial institutions,Appoint a New Board of Director at Bank Pashtany,,SB,,,,06/30/2006,NM,"At P1R1, this benchmark not met owing to the authorities' decision in August 2006 to merge the three state-owned banks.  However, the decision to merge these banks was subsequently reversed."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,6.2. Restructuring and privatization of financial institutions,Make a public statement announcing the liquidation of the Export Promotion Bank or its merger with another licensed commercial bank.,,SB,,,,01/31/2007,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,6.2. Restructuring and privatization of financial institutions,Submit to Cabinet a restructuring plan for Bank Millie.,,SB,,,,03/31/2007,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,6.2. Restructuring and privatization of financial institutions,"Prepare, and submit to Cabinet, a restructuring plan for Bank Pashtany.",,SB,,,,07/31/2007,DL,"At P1R2, the 8/31/07 deadline was postponed by one month to allow for the completion of the external audit."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Implement an integrated accounting system at Da Afghanistan Bank (DAB) headquarters.,,SB,,,,03/31/2007,DL,"At P1R2, a new accounting system has been introduced at DAB's headquarters, but is not yet operational. The test phase is expected to be completed during the summer 2007, and the system will be fully operational at DAB's headquarters and the six regional hubs by September 2007."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Expand the automated integrated accounting system to DAB's six regional hubs.,,SB,,,,09/30/2007,M,"At P1R2, descriptor changed from ""expand the automated integrated accounting system to Da Afghanistan Bank (DAB) branches"" to current sb while retaining 9/30/07 test date."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Reconcile DAB'saccounting records and the monthly reports on DAB'soperations for 2007/08 prepared by DAB'sMonetary Policy Department.,,SB,,,,04/20/2008,MD,"At P1R4, implemented in May 2008."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,DAB will produce a Monetary Survey for 2007/08 using a consistent time frame (Solar or Gregorian) for the entire banking system.,,SB,,,,06/30/2008,NM,"At P1R5, in the MEFP on March 4, 2009, Fund staff and the authorities reached an agreement that it was impractical to produce a monetary survey using a unified timeframe. The authorities instead produced a monetary survey based on a hybrid (Solar/Gregorian) timeframe, while ensuring concordance between key items reported simultaneously by the banks."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"2.2. Central bank auditing, transparency, and financial controls",Submit to parliament the 2004/05 and 2005/06 external audits of DAB,Condition is new,SB,"IMF, CtyTeam",IMF Country team,IMF,09/30/2006,MD,"At P1R1, audits were submitted to parliament in October 2006."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"3. Civil service and public employment reforms, and wages",Request verification by the Control and Audit Office of the 2006 reviews of the Tashkeel at the Ministry of Interior and Ministry of Education and the related arrears from 2005/06.,,SB,,,,01/31/2007,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"3. Civil service and public employment reforms, and wages",Establish a certified monthly payroll system,Condition is new,SB,"IMF, CtyTeam",IMF Country team,IMF,12/31/2006,M,
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Develop an action plan to address the gaps in the DAB's framework based on the weaknesses identified in DAB's self-assessment against the Basle Principles.,,SB,,,,09/30/2008,M,"At P1R4, macro rationale:  Critical for mapping the next steps toward strengthening bank supervision."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Create an electronic registry of capital notes (CNs) at DAB.,,SB,,,,09/30/2008,M,"At P1R4, macro rationale:  Critical for developing secondary market operations in CNS and strengthening the role of CNs as a monetary policy instrument."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Process gold held in the palace vaults into a form that qualifies as a reserve asset,Condition is new,SB,TA,Technical Assistance,,09/30/2006,NM,
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Develop a monthly monetary survey in line with international standards,Condition is new,SB,"IMF, CtyTeam",IMF Country team,IMF,03/21/2007,DL,"At P1R1, test date delayed until 07/31/2007."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Develop a monthly monetary survey in line with international standards,Condition was previously a structural benchmark,SB,,,,07/31/2007,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,2.1. Central bank operations and reforms,Ensure that the accounting system at DAB's six regional hubs is automatically monitorable from DAB's headquarters.,,SB,,,,03/31/2008,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.1. Revenue measures, excluding trade policy",Submit to parliament legislation to eliminate nuisance taxes and introduce an excise tax on selected goods from the start of 2007/08,Condition is new,SB,"IMF, CtyTeam",IMF Country team,IMF,12/31/2006,NM,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.1. Revenue measures, excluding trade policy","Clarify the tax policy framework and system, including separating the legislation of the Business Receipts Tax (BRT) and income taxes.",,SB,,,,07/31/2007,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.1. Revenue measures, excluding trade policy",Start collecting Business Receipts Tax (BRT) on imports.,,SB,,,,03/21/2009,CAN,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.1. Revenue measures, excluding trade policy",Withdraw trader concessions on filing and paying taxes.,,SB,,,,03/21/2009,CAN,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.1. Revenue measures, excluding trade policy",Notify traders of the expiration of exemption from the general income tax regime and inform them that they will be expected to file and pay their tax liabilities for 2008/09 according to the general provisions applying to corporate income tax payers.,,SB,,,,07/31/2008,M,"At P1R4, macro rationale:  Critical for ensuring compliance with the revised general income tax regime for traders and for the overall success of the new regime, to be introduced in 2009/10."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.1. Revenue measures, excluding trade policy","Amend income tax legislation, including, by introducing Business Receipts Tax (BRT) on imports.",,SB,,,,11/30/2008,NM,"At P1R4, macro rationale:  Critical for the success of tax policy reforms and increasing tax revenue in 2009/10.At P1R5, in the MEFP on March 4, 2009, Fund staff and the authorities reached an agreement to make it a prior action for the Fifth Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.1. Revenue measures, excluding trade policy",MOF will collect at least Af 79 million on airlines' tax and nontax liabilities due by airlines and outstanding at end-2007/08 and maintain regular collection of BRT and landing right fees throughout 2008/09.,,SB,,,,03/31/2009,CAN,"At P1R4, macro rationale:  Critical for governance and enforcement of tax laws with respect to large and politically connected enterprises."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs",Establish appeals process for customs and tax administrations,Condition is new,SB,"IMF, CtyTeam",IMF Country team,IMF,09/30/2006,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs","Implement the ASYCUDA Transit and Declaration Processing Module in Nangarhar and Herat, and at Kabul Airport inland clearing depots.",,SB,,,,03/31/2009,DL,"At P1R4, macro rationale:  Critical for sustainable improvements in customs administration and for strengthening revenue collection.At P1R5, in the MEFP, Fund staff and the authorities agreed to delay this benchmark. The new target date is April 30, 2009."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs","Roll out the Large Taxpayer Office (LTO) to Herat, Jalalabad, and Mazar-e-Sharif.",,SB,,,,09/30/2008,M,"At P1R4, macro rationale:  Critical for broadening the revenue base to provinces and moving away from presumptive taxation."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs",Setting up of post clearance audit units in the Customs Directorates of Jalalabad and Mazar-e-Sharif.,Condition is new,SB,,,,05/31/2009,M,"At P1R5, specified as SB for the 6th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.2. Revenue administration, including customs",Issuance of first monthly report by the revenue department verifying the collection of BRT on imports.,Condition is new,SB,,,,06/30/2009,M,"At P1R5, specified as SB for the 6th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing",Transfer the directorate responsible for monitoring and managing public enterprises in the Ministry of Finance from the Administration Department to the Finance Department or the Office of the Minister.,Condition is new,SB,"IMF, CtyTeam",IMF Country team,IMF,02/28/2010,SB,Introduced at the Sixth Review as conditionality for the Seventh Review.
