Country,Systemic Banking Crisis (starting date),Currency Crisis,Sovereign Debt Crisis (default date),Sovereign Debt Restructuring (year)
Panama,1988,,1983,1996
Papua New Guinea,,1995,,
Paraguay,1995,"1984, 1989, 2002",1982,1992
Peru,1983,"1976, 1981, 1988",1978,1996
Philippines,"1983, 1997","1983, 1998",1983,1992
Poland,1992,,1981,1994
Portugal,2008,1983,,
Romania,1990,1996,1982,1987
Russia,"1998, 2008",1998,1998,2000
Rwanda,,1991,,
São Tomé and Principe,1992,"1987, 1992, 1997",,
Senegal,1988,1994,1981,1996
"Serbia, Republic of",,2000,,
Seychelles,,2008,2008,2009
Sierra Leone,1990,"1983, 1989, 1998",1977,1995
Singapore,,,,
Slovak Republic,1998,,,
Slovenia,"1992, 2008",,,
South Africa,,1984,1985,1993
Spain,"1977, 2008",1983,,
Sri Lanka,1989,1978,,
Sudan,,"1981, 1988, 1994",1979,1985
Suriname,,"1990, 1995, 2001",,
Swaziland,1995,1985,,
Sweden,"1991, 2008",1993,,
Syrian Arab Republic,,1988,,
Switzerland,2008,,,
Tajikistan,,1999,,
Tanzania,1987,"1985, 1990",1984,1992
Thailand,"1983, 1997",1998,,
Togo,1993,1994,1979,1997
Trinidad and Tobago,,1986,1989,1989
Tunisia,1991,,,
Turkey,"1982, 2000","1978, 1984, 1991, 1996, 2001",1978,1982
Turkmenistan,,"1993, 2008",,
Uganda,1994,"1980, 1988",1981,1993
Ukraine,"1998, 2008","1998, 2009",1998,1999
United Kingdom,2007,,,
United States,"1988, 2007",,,
Uruguay,"1981, 2002","1972, 1983, 1990, 2002","1983, 2002","1991, 2003"
Uzbekistan,,"1994, 2000",,
Venezuela,1994,"1984, 1989, 1994, 2002, 2010",1982,1990
Vietnam,1997,"1972, 1981, 1987",1985,1997
Yemen,1996,"1985, 1995",,
"Yugoslavia, SFR",,,1983,1988
Zambia,1995,"1983, 1989, 1996, 2009",1983,1994
Zimbabwe,1995,"1983, 1991, 1998, 2003",,
