Country name,Argentina,Argentina,Argentina,Argentina,Austria,Belgium,Bolivia,Brazil,Brazil,Bulgaria,Chile,Colombia,Colombia,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Estonia,Finland,France,Germany,Ghana,Greece,Hungary,Iceland,Indonesia,Ireland,Italy,Jamaica,Japan,Kazakhstan,Korea,Latvia,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Mongolia,Netherlands,Nicaragua,Nigeria,Norway,Paraguay,Philippines,Portugal,Russia,Russia,Slovenia,Spain,Sri Lanka,Sweden,Sweden,Switzerland,Thailand,Turkey,Ukraine,Ukraine,United Kingdom,United States,Uruguay,Venezuela,Vietnam
Year of formation,1979,1979,1979,1979,,,,,,1996,,,1988,,1997,1994,,,1998,,1969,,,,,,,,,,,1971,,1996,,,,,,1986,,,,,1961,,1963,,,,,,1987,,,,,1983,1998,,,,2002,1985,
Coverage limit (in local currency) at start of crisis, Full , Full ,"30,000","30,000","20,000","20,000", -   , -   , -   ,"5,000", -   , -   ,"10,000,000", -   ,"50,000","100,000","300,000", -   ,"7,416", -   , Full ,"70,000","20,000", -   ,"20,000","6,000,000", Unlimited , -   ,"20,000","103,291", -   , Full ,"700,000","20,000,000", -   ,"20,000", -   ,"20,000", -   , Full ,0,"20,000", -   ,, Full , -   ,"10,000","25,000", -   ,"400,000","22,000","20,000","100,000", -   ,"250,000","30,000", -   , Full ,"1,200","50,000","35,000","100,000","100,000","250,000", -   
Coverage ratio (coverage limit to GDP per capita) at start of crisis,,,404%,419%,61%,63%,0%,0%,0%,237%,0%,0%,329%,0%,180%,75%,97%,0%,381%,0%,,229%,68%,0%,99%,237%,,0%,46%,397%,0%,,84%,218%,0%,308%,0%,26%,0%,,0%,58%,0%,0%,,0%,322%,157%,0%,171%,128%,85%,718%,0%,73%,43%,0%,,59%,323%,160%,224%,140%,96%,0%
Deposit freeze (Y/N),N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Introduction of deposit freeze,,1989,,2001,,,,1990,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,
Duration of deposit freeze (in months),,120,,12,,,,29,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,
Coverage of deposit freeze: time deposits only ? (Y/N),,Y,,N,,,,N,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
Bank holiday (Y/N),N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,
Introduction of bank holiday,,1990,,2001,,,,,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,
Duration of bank holiday (in days),,4,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Bank guarantee (Y/N),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,
Date of introduction,,,,,Dec-08,Oct-08,,,,,,,,,,Jun-96,Feb-09,,Dec-98,,Feb-93,Oct-08,Oct-08,,Oct-08,Oct-08,Oct-08,Jan-98,Sep-08,Nov-08,Feb-97,Nov-97,N,Nov-97,,Dec-08,,Oct-08,Jan-98,Dec-93,Already in place,Oct-08,Jan-01,Oct-09,,Jul-95,,Oct-08,,Nov-08,Dec-08,Oct-08,,Sep-92,Oct-08,N,Aug-97,Dec-00,,N,Oct-08,Oct-08,,,,
Date of removal,,,,,,,,,,,,,,,,Jan-98,,,Jan-02,,Dec-98,,,,,,,Jul-05,,,Mar-98,Apr-05,,Dec-00,,,,,Aug-05,Jan-03,,,Jul-02,,,Jun-96,,,,,,,,Jul-96,,,Jan-05,Jul-04,,,,,,,,
Duration of guarantee (in months),,,,,,,,,,,,,,,,18,,,37,,70,,,,,,,78,,,11,89,,37,,,,,91,109,,,14,,,11,,,,,,,,46,,,89,43,,,,,,,,
Coverage of guarantee,,,,,Unlimited coverage to depositors. Bank and non-bank bonds. ,Deposit-like insurance instruments. Interbank loans and short-term debt. Specific guarantees on Dexia. ,,,,,,,,,,"Depositors, except shareholders up to CZK4m (at the 18 banks under restructuring) and CZK0.1m everywhere else",Deposits and unsecured claims of PCA banks. , ,,,All creditors except for shareholders,,Unlimited coverage of household deposits. , ,,Unlimited protection to depositors of small banks. ,Unlimited coverage to domestic deposits. ,"All deposits and other credits of all domestic banks (excluding shareholders’ capital, subordinated debt, and insider deposits).",Unlimited coverage to most liabilities of 10 banks. ,State guarantee for new bank liabilities. ,"Depositors’ funds in licensed deposit-taking institutions, pension funds managed by authorized institutions, and policy-holders funds in insurance companies","All deposits, including interbank deposits",,"All liabilities (excluding shareholders’ capital and subordinated debt) of banks, securities companies, insurance companies, merchant banks, mutual savings and finance companies, and credit unions. Overseas branches were also included.", ,Guarantees on Parex syndicated loans,,Guarantees on Dexia's debt,"Deposits only of commercial banks, finance companies and merchant banks, including overseas branches of domestic banking institutions.","All bank liabilities, including inter-bank deposits but excluding subordinated debt",Unlimited coverage to all deposits. ,Interbank loans of solvent banks. ,All deposit liabilities except for related parties.,"Guarantees on all interbank transactions, foreign credit lines and pension deposits. ", ,"The announcement was that the government will back all deposits, but no explicit breakdown was given.", ,Debt issued by credit institutions. ,,Interbank lending for qualifying banks. ,"Unlimited protection for all deposits by individuals and small entreprises until end-2010, and capped at €100,000 thereafter ",,,"All liabilities, except for shareholders",Medium-term debt of banks and mortgage insitutions,,"Deposits, contingent and foreign liabilities (excluding shareholders’ capital and subordinated debt) of banks and finance companies. Directors’ and related persons’ deposits and/or claims were not covered unless it could be proven that the transactions were at arms’ length.","All liabilities (including contingent) of domestically incorporated banks except for owners' deposits, deposits linked to criminal activities, subordinated debt, and equity ", ,,Guarantee on short-to-medium term debt; blanket guarantee on Northern Rock and Bradford & Bingley wholesale deposits. ,Money market funds (capped at 50 bio); full guarantee on transaction deposits; newly issued senior unsecured debt. ,,,, 
Extensive Liquidity support/emergency lending (Y/N),Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N ,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,
        Date when liquidity support became extensive,May-80,Feb-90,Jan-93,Jan-02,Oct-08,Sep-08,,Jul-88,Oct-94,Jun-96,Mar-83,,Jan-00,,,,Nov-08,Jan-03,Oct-98,Jan-92,Feb-90,Oct-08,Sep-08,,Oct-08,Apr-09,Oct-08,Jan-98,Sep-08,Sep-08,,,May-09,,Aug-93,Nov-08,,Sep-08,Aug-97,Jan-95,Nov-08,Oct-08,Jan-98,May-11,,Jul-95,,Dec-09,Jan-99,Oct-08,Dec-08,Oct-08,,,Oct-08,Sep-08,Feb-98,Dec-00,Dec-98,Nov-08,Nov-08,Dec-08,Aug-02,,,
Peak support (in % of deposits),64.65%,151.57%,71.35%,22.86%,13%,20%,31.93%,11.26%,20.12%,17.31%,61.23%,21.06%,5.07%,76.85%,3.25%,12.66%,20%,43.37%,26.00%,30.92%,11.99%,9%,11%,0.19%,46%,4%,21%,23.12%,20%,8%,0.37%,2.42%,5%,27.45%,9.16%,5%,27.47%,15%,9.72%,16.75%,10%,9%,21.82%,25%,16.92%,27.26%,1.35%,18%,23.72%,25%,21%,8%,8.03%,3.09%,13%,5%,5.08%,20.46%,19.06%,30%,9%,5%,12.85%,2.91%,64.85%,
Bank restructuring (Y/N),Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Nationalizations (Y/N),Y,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,
Asset Purchases and Transfers (Y/N),N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,
Asset management company,0,0,0,0,2,2,1,0,0,2,0,0,1,1,1,1,1,1,1,2,1,2,2,1,0,0,0,1,1,0,1,1,0,1,0,2,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,2,2,1,0,1
Recapitalization (Y/N),N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
Recap cost to government (gross) (as % of GDP),,,0.28%,9.58%,2.90%,5.80%,0.95%,,4.98%,2.31%,34.33%,1.87%,4.26%,small,3.20%,0.98%,2.80%,,1.90%,1.26%,8.63%,1.00%,1.80%,6.00%,25.40%,0.10%,24.30%,37.30%,40.70%,0.30%,13.90%,6.61%,2.40%,19.31%,,3.10%,1.70%,7.70%,16.40%,3.80%,4.20%,6.60%,,11.80%,2.61%,1.22%,0.20%,0.00%,,2.30%,0.80%,2.00%,3.60%,1.85%,0.20%,1.10%,18.80%,24.50%,,4.50%,5.00%,3.60%,6.18%,5.59%,5.00%
Recovery (Y/N),,,N,N,,,Y,,N ,N,Y,N,Y,N,N,N,,,Y,Y,Y,,,N,,,,N,,,Y,Y,,Y,,,Y,,Y,Y,,,,,Y,N,N,,,,,,N,Y,,Y,,Y,,,,Y,Y,N,N
     Recovery proceeds (% of GDP),,,0.00%,0.00%,,,0.95%,,0.00%,0.00%,27.87%,0.00%,1.56%,0.00%,0.00%,0.00%,,,0.30%,0.27%,1.72%,,,0.00%,,,,0.00%,,,4.95%,0.09%,,3.50%,,,0.20%,,11.30%,1.30%,,,,,2.00%,0.00%,0.00%,,,,,,0.00%,0.36%,,1.50%,,1.30%,,,,2.10%,1.16%,0.00%,0.00%
Recap cost to government (net) (as % of GDP),,,0.28%,9.58%,,,0.00%,,4.98%,2.31%,6.46%,1.87%,2.70%,small,3.20%,0.98%,,,1.60%,0.99%,6.91%,,,6.00%,,,,37.30%,,,8.95%,6.52%,,15.81%,,,1.50%,,5.10%,2.50%,,,,,0.61%,1.22%,0.20%,,,,,,3.60%,1.49%,,-0.40%,18.80%,23.20%,,,,1.50%,5.02%,5.59%,5.00%
Were losses imposed on depositors? (Y/N),N,Y,N,Y,N,N,Y,N,N ,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N
" If yes, severe=1, moderate=2",,1,,1,,,2,,,,2,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,2,,,,,,,,2,,1,,,,,2,
Monetary policy index,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,,,1,1,-1,1,-1,-1,0,1,1,1,1,0,-1,,-1,,1,0,-1,0,1,0,-1,-1,0,-1,1,,-1,1,1,-1,0,1,1,0,0,0,-1,1,1,0,-1,0
"Average change in reserve money during years [t, t+3]) (in %)",10.57%,9.98%,-0.84%,8.22%,8.33%,8.33%,1.64%,7.69%,-4.26%,-2.18%,0.46%,-0.80%,0.50%,-3.32%,5.21%,-1.28%,1.23%,6.69%,-0.47%,,,8.33%,8.33%,-0.49%,8.33%,-0.79%,-2.30%,4.52%,8.33%,8.33%,7.59%,7.21%,3.33%,-0.35%,,-2.67%,,8.33%,3.97%,0.42%,3.00%,8.33%,3.28%,-0.53%,0.46%,3.17%,0.79%,8.33%,,1.00%,8.33%,8.33%,-0.96%,5.13%,6.30%,7.57%,3.89%,2.39%,3.35%,1.66%,9.42%,7.93%,1.98%,1.32%,4.85%
Fiscal policy index,-1,-1,0,1,0,0,-1,-1,-1,-1,1,0,0,-1,0,0,1,0,-1,,1,1,1,0,1,0,1,0,1,0,-1,1,0,-1,0,1,0,0,-1,0,-1,0,0,0,1,-1,0,1,-1,0,0,1,-1,1,0,0,0,-1,0,1,1,1,1,-1,-1
Increase in public debt minus Fiscal costs (% of GDP),-21.95%,-27.29%,6.69%,72.30%,10.11%,13.80%,-25.24%,-22.64%,-46.98%,-44.08%,45.00%,11.57%,9.13%,-11.38%,7.19%,-5.03%,21.80%,-5.49%,-12.65%,,30.75%,16.25%,15.97%,9.52%,17.21%,-2.95%,28.03%,10.76%,32.11%,8.29%,-40.96%,27.73%,5.39%,-21.29%,-2.58%,22.45%,7.73%,6.94%,-16.25%,-2.93%,-9.23%,14.10%,1.26%,-4.05%,16.51%,-14.07%,-2.84%,33.65%,-13.09%,4.14%,14.38%,26.89%,-10.50%,32.60%,10.45%,-1.30%,-1.70%,-16.70%,6.04%,24.15%,15.59%,19.14%,17.00%,-37.96%,-62.70%
IMF program put in place (Y/N),Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N
IMF program put in place (year),1983,1990,1995,2000,,,,1989,,1996,1983,,,1985,,,,2004,2000,1993,,,,,"2010, 2012",2008,2008,1998,2010,,,,,1998,1993,2009,,,,1995,2009,,,,,,1998,2011,1999,,,,,,,,1998,2000,1995,"2009, 2010",,,1996,1996,
Peak NPLs (as % of total loans; unofficial estimate),9.00%,27.00%,17.00%,20.10%,2.83%,3.11%,6.20%,,16.00%,75.00%,35.60%,4.10%,14.00%,50.00%,10.50%,18.00%,4.45%,9.00%,40.00%,7.00%,13.00%,4.02%,3.70%,35.00%,14.70%,13.34%,61.20%,32.50%,12.90%,10.97%,28.90%,35.00%,31.90%,35.00%,20.00%,15.93%,32.20%,1.30%,30.00%,18.90%,,3.20%,12.70%,30.10%,16.36%,8.10%,20.00%,7.34%,40.00%,9.62%,12.10%,5.80%,35.00%,13.00%,2.00%,0.50%,33.00%,27.60%,62.40%,15.45%,4.00%,4.99%,36.30%,24.00%,35.00%
Fiscal cost net (%GDP),55.10%,6.00%,2.00%,9.58%,,,2.65%,0.00%,10.20%,13.90%,16.80%,5.00%,2.54%,25.00%,6.90%,5.80%,,20.80%,16.26%,1.63%,11.08%,,,6.00%,,,,52.30%,,,38.95%,13.91%,,23.20%,3.00%,,2.90%,,5.10%,18.00%,,,12.57%,,0.60%,10.00%,13.20%,,6.00%,,,,5.00%,0.20%,,,34.80%,30.70%,0.00%,,,,10.83%,12.50%,10.00%
Gross,55.10%,6.00%,2.00%,9.58%,4.90%,6.00%,6.03%,0.00%,13.20%,14.00%,42.90%,5.00%,6.28%,25.00%,6.90%,6.80%,3.10%,22.00%,21.70%,1.90%,12.80%,1.00%,1.80%,6.00%,27.30%,2.70%,44.20%,56.80%,40.70%,0.30%,43.90%,14.00%,3.70%,31.20%,3.00%,5.60%,3.10%,7.70%,16.40%,19.30%,4.20%,12.70%,13.61%,11.80%,2.70%,12.90%,13.20%,0.00%,6.00%,2.30%,3.60%,3.80%,5.00%,3.60%,0.70%,1.10%,43.80%,32.00%,0.00%,4.50%,8.80%,4.50%,20.00%,15.00%,10.00%
"Recovery during period t to t+5, where t is the first year of the crisis",0.00%,0.00%,0.00%,0.00%,,,3.37%,0.00%,3.00%,0.10%,26.10%,0.00%,3.74%,0.00%,0.00%,1.00%,,1.20%,5.44%,0.27%,1.72%,,,0.00%,,1.60%,23.70%,4.60%,,,4.95%,0.09%,,8.00%,0.00%,,0.20%,,11.30%,1.30%,,7.10%,1.04%,,2.10%,2.90%,0.00%,,0.00%,,,,0.00%,3.40%,,1.50%,9.00%,1.30%,0.00%,,2.20%,2.40%,9.17%,2.50%,0.00%
Output loss during period t to t+3,58.17%,12.63%,0.00%,70.97%,14.00%,19.00%,0.00%,62.30%,0.00%,59.51%,8.61%,46.96%,43.40%,44.81%,,,36.00%,,25.35%,,69.59%,23.00%,11.00%,45.31%,43.00%,40.00%,43.00%,69.02%,106.00%,32.00%,37.79%,45.00%,0.00%,57.59%,,106.00%,,36.00%,31.45%,13.66%,0.00%,23.00%,0.00%,14.00%,5.15%,15.33%,0.00%,37.00%,,0.00%,38.00%,39.00%,19.58%,30.60%,25.00%,0.00%,109.32%,37.04%,0.00%,2.00%,25.00%,31.00%,27.37%,1.16%,0.00%
